symbol,marcap,3month_performance,avgvol_10,avgvol_30,avgvol_60,avgvol_90
6.28113.314M—0.24−1.30−1.7620.49264.882M18.044M16.30%31K41.54K46.586K56.985K,,,,,,,
KLACDKLA CORPORATION,,,,,,,
318.5548.828B26.607.6212.017.7015.0452.364B153.282M16.24%1.077M1.189M1.337M1.339M,,,,,,,
GTESDGATES INDUSTRIAL CORPORATION PLC,,,,,,,
18.405.366B49.791.880.380.2712.857.549B291.614M16.23%514.519K585.136K631.269K784.869K,,,,,,,
C,,,,,,,
CCMDCONCORD MEDICAL SERVICES HOLDINGS LIMITED DR,,,,,,,
3.46146.739M———−1.84——28.151M16.22%3.548K4.837K24.972K34.605K,,,,,,,
PACWDPACWEST BANCORP,,,,,,,
45.755.349B15.524.342.92−10.61—4.908B116.916M16.21%587.785K754.732K982.602K1.025M,,,,,,,
R,,,,,,,
"RVLVDREVOLVE GROUP, INC.",,,,,,,
54.453.931B54.866.821.060.7931.873.143B72.199M16.20%1.007M1.493M1.212M1.21M,,,,,,,
JLLDJONES LANG LASALLE INCORPORATED,,,,,,,
205.9910.569B21.110.649.747.709.4611.688B51.307M16.19%329.953K334.494K304.995K372.381K,,,,,,,
K,,,,,,,
"KFRCDKFORCE, INC.",,,,,,,
62.911.379B22.360.942.842.629.861.162B21.915M16.16%92.89K107.315K100.751K109.986K,,,,,,,
"GSDGOLDMAN SACHS GROUP, INC. (THE)",,,,,,,
388.16132.058B9.732.2940.7124.74—590.126B340.216M16.15%2.68M2.659M2.889M2.955M,,,,,,,
"TPHDTRI POINTE HOMES, INC.",,,,,,,
23.242.752B9.180.832.572.177.303.259B118.424M16.14%1.05M1.098M1.228M1.353M,,,,,,,
R,,,,,,,
RANDDRAND CAPITAL CORPORATION,,,,,,,
18.3547.383M5.62—3.270.3312.0342.427M2.589M16.14%1.058K2.876K4.062K4.681K,,,,,,,
H,,,,,,,
HCAPDHARVEST CAPITAL CREDIT CORPORATION,,,,,,,
9.5056.699M9.784.700.97−0.3927.8861.258M5.968M16.14%27.603K28.037K24.279K22.994K,,,,,,,
BACDBANK OF AMERICA CORPORATION,,,,,,,
43.12369.509B18.523.962.351.87—801.891B8.569B16.13%40.65M39.981M47.827M49.865M,,,,,,,
"IDXXDIDEXX LABORATORIES, INC.",,,,,,,
560.3547.787B71.8416.987.906.7155.3843.179B85.281M16.11%378.503K355.267K383.702K434.001K,,,,,,,
TRPDTC ENERGY CORPORATION,,,,,,,
53.0051.887B27.374.911.923.7212.4486.648B979M16.10%1.427M1.45M1.844M2.23M,,,,,,,
AEEDAMEREN CORPORATION,,,,,,,
86.1322.011B22.523.723.853.5012.6833.233B255.553M16.09%1.547M1.329M1.348M1.45M,,,,,,,
N,,,,,,,
NOADNORTH AMERICAN CONSTRUCTION GROUP LTD.,,,,,,,
14.08421.689M11.351.221.371.254.93676.461M29.95M16.08%55.686K65.922K54.31K69.799K,,,,,,,
TEODTELECOM ARGENTINA SA DR,,,,,,,
6.214.441B—0.660.07−0.043.11—125.612M16.07%1.759M887.603K594.7K514.646K,,,,,,,
S,,,,,,,
SARDSARATOGA INVESTMENT CORP NEW,,,,,,,
26.30294.56M19.906.021.331.3215.24501.685M11.2M16.06%35.636K34.574K45.682K50.584K,,,,,,,
W,,,,,,,
WHGDWESTWOOD HOLDINGS GROUP INC,,,,,,,
20.60170.917M—2.18−0.76−1.1229.19108.71M8.297M16.06%25.099K34.238K45.725K44.752K,,,,,,,
R,,,,,,,
"ROADDCONSTRUCTION PARTNERS, INC.",,,,,,,
33.251.739B47.472.120.700.789.491.603B52.293M16.06%217.293K257.192K325.261K362.805K,,,,,,,
"BJDBJ'S WHOLESALE CLUB HOLDINGS, INC.",,,,,,,
47.166.467B15.970.422.993.038.449.272B137.134M16.04%1.202M1.733M1.653M1.864M,,,,,,,
SNAPDSNAP INC.,,,,,,,
61.3793.497B—32.55−0.63−0.65—78.536B1.523B16.03%13.746M21.318M22.163M23.416M,,,,,,,
CVNADCARVANA CO.,,,,,,,
279.8548.241B—3.25−2.04−2.63—22.871B80.972M16.03%1.29M1.806M1.488M1.502M,,,,,,,
GRWGDGROWGENERATION CORP.,,,,,,,
43.832.579B164.4510.130.270.11155.502.879B48.98M15.98%1.916M1.637M1.89M2.167M,,,,,,,
GRADW.R. GRACE & CO.,,,,,,,
68.814.559B185.782.580.37−0.0314.225.718B66.252M15.98%709.029K1.96M1.204M926.662K,,,,,,,
S,,,,,,,
"SQFTDPRESIDIO PROPERTY TRUST, INC.",,,,,,,
4.2240.125M—1.78−0.79−0.8517.43150.328M9.508M15.93%238.28K667.013K370.252K287.418K,,,,,,,
SCHWDCHARLES SCHWAB CORPORATION (THE),,,,,,,
74.73140.967B33.5810.112.262.124.1778.87B1.807B15.93%7.066M6.988M7.029M7.657M,,,,,,,
"ROPDROPER TECHNOLOGIES, INC.",,,,,,,
446.7847.019B47.838.389.538.9828.1651.497B105.239M15.93%331.536K418.853K453.255K545.94K,,,,,,,
C,,,,,,,
CLWTDEURO TECH HOLDINGS COMPANY LIMITED,,,,,,,
3.4217.629M21.841.330.150.15——5.155M15.93%174.394K332.675K229.409K193.966K,,,,,,,
"VRSNDVERISIGN, INC.",,,,,,,
218.9324.656B39.7619.475.527.0729.3823.128B112.619M15.93%477.614K511.535K573.088K604.523K,,,,,,,
E,,,,,,,
"EDSADEDESA BIOTECH, INC.",,,,,,,
5.7576.219M—621.65−0.87−0.74—52.034M11.616M15.93%118.003K231.345K219.572K301.89K,,,,,,,
A,,,,,,,
"AUVIDAPPLIED UV, INC.",,,,,,,
9.4889.137M—14.26−0.59−0.42—85.991M9.403M15.89%476.718K733.262K543.913K2.015M,,,,,,,
"MSIDMOTOROLA SOLUTIONS, INC.",,,,,,,
207.6935.238B36.564.835.875.4217.6636.988B169.668M15.89%706.82K707.887K699.894K716.129K,,,,,,,
E,,,,,,,
"ERIIDENERGY RECOVERY, INC.",,,,,,,
19.621.129B35.049.310.580.4716.27972.123M57.523M15.89%380.755K528.243K516.313K484.673K,,,,,,,
A,,,,,,,
AFYADAFYA LIMITED,,,,,,,
24.522.285B41.759.480.590.6026.181.783B93.203M15.88%201.14K255.298K223.174K224.543K,,,,,,,
N,,,,,,,
NDLSDNOODLES & COMPANY,,,,,,,
12.78581.063M—1.39−0.44−0.5344.98734.458M45.467M15.87%192.761K233.841K218.268K253.823K,,,,,,,
VGDVONAGE HOLDINGS CORP.,,,,,,,
13.963.509B—2.65−0.13−0.1534.583.453B251.389M15.85%2.67M2.765M2.877M3.067M,,,,,,,
"HIIDHUNTINGTON INGALLS INDUSTRIES, INC.",,,,,,,
221.288.903B13.400.9516.6017.147.999.715B40.232M15.79%330.874K275.535K307.25K346.852K,,,,,,,
F,,,,,,,
FSKDFS KKR CAPITAL CORP.,,,,,,,
22.972.843B5.7523.634.02−3.26—5.895B123.758M15.78%787.23K642.677K567.394K588.327K,,,,,,,
P,,,,,,,
"PVBCDPROVIDENT BANCORP, INC.",,,,,,,
16.38300.33M19.744.420.840.66—253.241M18.335M15.76%60.411K61.359K65.761K59.769K,,,,,,,
C,,,,,,,
CMREDCOSTAMARE INC.,,,,,,,
11.461.404B106.972.860.10−0.188.212.991B122.524M15.76%505.226K553.69K599.693K668.467K,,,,,,,
H,,,,,,,
HHRDHEADHUNTER GROUP PLC DR,,,,,,,
37.621.868B62.6215.210.610.4730.661.756B50.318M15.75%338.285K189.394K151.428K139.258K,,,,,,,
MCODMOODY'S CORPORATION,,,,,,,
335.0762.725B31.3011.1410.809.3922.0760.488B187.2M15.75%562.824K698.56K733.57K753.62K,,,,,,,
NIDNISOURCE INC,,,,,,,
25.5110.005B70.632.170.36−0.1911.5020.141B392.217M15.74%3.562M3.737M4.344M4.087M,,,,,,,
B,,,,,,,
BOSCDB.O.S. BETTER ONLINE SOLUTIONS,,,,,,,
3.7519.476M—0.58−0.21−0.2216.3819.853M5.194M15.74%273.817K204.087K167.15K219.306K,,,,,,,
CCLDCARNIVAL CORPORATION,,,,,,,
30.8934.224B—40.24−13.97−13.21—50.506B1.132B15.74%28.629M26.646M31.072M37.474M,,,,,,,
I,,,,,,,
ITRGDINTEGRA RESOURCES CORP.,,,,,,,
3.31181.431M——−0.50−0.43—126.93M54.813M15.73%91.915K88.265K73.516K79.073K,,,,,,,
"KMIDKINDER MORGAN, INC.",,,,,,,
18.7742.506B23.412.970.800.0512.1170.628B2.265B15.72%15.569M16.042M15.23M16.142M,,,,,,,
F,,,,,,,
FXNCDFIRST NATIONAL CORPORATION,,,,,,,
20.2598.586M9.632.261.971.82—92.154M4.868M15.71%4.101K6.668K8.174K7.033K,,,,,,,
M,,,,,,,
"MYSZDMY SIZE, INC.",,,,,,,
1.4017.554M—89.86−0.90−1.19—4.984M12.538M15.70%354.755K526.805K600.557K633.935K,,,,,,,
ACHDALUMINUM CORPORATION OF CHINA LIMITED DR,,,,,,,
13.8712.686B37.040.320.010.0010.9222.472B157.759M15.68%141.97K170.367K173.499K186.669K,,,,,,,
AGIDALAMOS GOLD INC.,,,,,,,
8.803.456B16.394.250.550.387.822.829B392.739M15.64%1.859M2.257M2.453M2.852M,,,,,,,
L,,,,,,,
LEDLANDS' END INC,,,,,,,
34.541.139B34.320.771.050.3313.571.116B32.98M15.63%348.564K273.337K240.548K215.913K,,,,,,,
BSIGDBRIGHTSPHERE INVESTMENT GROUP INC.,,,,,,,
22.201.762B6.472.523.533.497.051.897B79.355M15.63%387.637K413.739K506.857K482.151K,,,,,,,
JACKDJACK IN THE BOX INC.,,,,,,,
116.052.58B16.672.386.873.8610.974.723B22.228M15.62%270.234K295.626K350.499K381.848K,,,,,,,
M,,,,,,,
MOVDMOVADO GROUP INC.,,,,,,,
29.03678.711M14.321.202.06−4.805.78653.38M23.38M15.61%204.371K159.508K179.276K169.439K,,,,,,,
"SNPSDSYNOPSYS, INC.",,,,,,,
252.5938.534B49.6810.095.314.2736.9938.045B152.554M15.61%833.367K925.17K917.125K966.586K,,,,,,,
VNOMDVIPER ENERGY PARTNERS LP,,,,,,,
18.672.902B—4.58−0.79−2.8411.642.707B64.707M15.60%396.733K467.812K561.603K569.74K,,,,,,,
A,,,,,,,
APMDAPTORUM GROUP LIMITED,,,,,,,
3.04104.011M19.84119.070.160.20——34.214M15.59%4.756M1.692M961.342K787.247K,,,,,,,
FEDFIRSTENERGY CORP.,,,,,,,
38.5720.978B15.851.932.421.8511.5941.738B543.9M15.58%2.485M3.002M3.446M4.016M,,,,,,,
C,,,,,,,
"CPSSDCONSUMER PORTFOLIO SERVICES, INC.",,,,,,,
4.97112.663M7.500.430.710.9011.551.85B22.669M15.58%28.73K31.229K20.795K24.166K,,,,,,,
S,,,,,,,
"SCUDSCULPTOR CAPITAL MANAGEMENT, INC.",,,,,,,
25.301.461B10.011.027.883.003.651.525B24.854M15.58%106.964K153.732K155.459K188.531K,,,,,,,
UGIDUGI CORPORATION,,,,,,,
47.419.895B11.021.434.242.538.5214.497B208.702M15.58%1.024M1.04M1.012M1.018M,,,,,,,
"SDGRDSCHRODINGER, INC.",,,,,,,
74.665.264B—44.14−0.15−0.41—4.707B70.505M15.55%605.319K706.797K819.289K1.017M,,,,,,,
L,,,,,,,
LMNXDLUMINEX CORPORATION,,,,,,,
36.871.744B73.793.930.510.3213.071.492B47.312M15.54%482.318K846.624K1.164M1.079M,,,,,,,
C,,,,,,,
"CYCCDCYCLACEL PHARMACEUTICALS, INC.",,,,,,,
6.9964.546M——−2.89−3.42—3.693M9.234M15.54%109.5K151.18K188.057K510.248K,,,,,,,
S,,,,,,,
"STXSDSTEREOTAXIS, INC.",,,,,,,
8.04595.876M—19.88−0.10−0.11—470.616M74.114M15.52%637.914K382.827K369.288K414.241K,,,,,,,
OSKDOSHKOSH CORPORATION (HOLDING COMPANY),,,,,,,
130.018.921B25.921.335.124.728.817.947B68.617M15.51%550.329K548.071K530.992K710.365K,,,,,,,
A,,,,,,,
ARKODARKO CORP.,,,,,,,
10.801.344B—0.36−0.160.198.313.04B40M15.51%269.563K325.282K592.081K558.501K,,,,,,,
SUDSUNCOR ENERGY INC.,,,,,,,
25.4238.295B1704.101.880.01−2.2212.9746.793B1.506B15.49%7.35M6.787M6.743M8.153M,,,,,,,
CNCDCENTENE CORPORATION,,,,,,,
71.2841.537B17.070.374.243.12—56.187B582.735M15.49%3.87M5.237M4.11M3.946M,,,,,,,
H,,,,,,,
"HAYNDHAYNES INTERNATIONAL, INC.",,,,,,,
36.95468.849M—1.45−2.05−0.538.23310.818M12.689M15.47%59.386K53.406K55.606K81.8K,,,,,,,
MRCDMRC GLOBAL INC.,,,,,,,
11.05911.69M—0.39−3.78−3.6320.761.564B82.506M15.46%306.398K431.927K452.919K535.764K,,,,,,,
"MDLZDMONDELEZ INTERNATIONAL, INC.",,,,,,,
63.6789.438B24.313.362.652.4718.57101.222B1.405B15.45%6.262M7.142M7.484M7.89M,,,,,,,
PNRDPENTAIR PLC.,,,,,,,
69.1511.493B28.053.672.502.1417.2511.372B166.202M15.44%1.025M988.012K986.772K1.023M,,,,,,,
G,,,,,,,
"GCBCDGREENE COUNTY BANCORP, INC.",,,,,,,
31.25266.044M12.554.002.472.20—90.76M8.513M15.44%9.508K9.117K7.467K6.836K,,,,,,,
CEQPDCRESTWOOD EQUITY PARTNERS LP,,,,,,,
29.691.865B—0.94−1.78−1.5920.615.708B62.832M15.44%460.271K507.349K465.704K549.214K,,,,,,,
H,,,,,,,
HTBKDHERITAGE COMMERCE CORP,,,,,,,
11.97719.431M16.014.620.750.59—778.797M60.103M15.43%132.449K152.744K289.081K309.469K,,,,,,,
FULDH. B. FULLER COMPANY,,,,,,,
68.483.578B25.511.292.762.3612.434.668B52.248M15.42%323.491K324.984K385.617K402.691K,,,,,,,
H,,,,,,,
HTOODFUSION FUEL GREEN PLC,,,,,,,
14.24155.697M——−1881.07−0.03—74.703M10.934M15.40%113.683K112.182K153.933K236.573K,,,,,,,
"GWWDW.W. GRAINGER, INC.",,,,,,,
459.8123.961B32.692.0614.3112.9418.6723.171B52.11M15.39%194.889K249.714K264.358K290.63K,,,,,,,
B,,,,,,,
"BCCDBOISE CASCADE, L.L.C.",,,,,,,
64.162.523B8.130.417.934.444.532.454B39.331M15.37%446.835K438.067K370.472K391.832K,,,,,,,
COTYDCOTY INC.,,,,,,,
9.016.903B—1.62−0.80−1.3327.9613.606B766.107M15.36%4.64M6.389M6.985M10.194M,,,,,,,
T,,,,,,,
TLSDTELOS CORPORATION,,,,,,,
33.942.265B—10.93−0.170.03361.232.374B66.735M15.36%549.531K739.206K824.036K735.849K,,,,,,,
A,,,,,,,
"AUTODAUTOWEB, INC.",,,,,,,
2.7837.435M—0.53−0.19−0.52—33.313M13.466M15.35%79.828K81.507K126.322K183.754K,,,,,,,
RYDROYAL BANK OF CANADA,,,,,,,
104.30148.562B13.073.228.015.87—298.629B1.424B15.34%1.172M1.195M1.142M1.287M,,,,,,,
MSCIDMSCI INC,,,,,,,
464.3738.275B60.2022.167.837.1239.9837.297B82.423M15.33%304.443K318.28K338.971K414.415K,,,,,,,
SJMDJ.M. SMUCKER COMPANY (THE) NEW,,,,,,,
138.1315.137B17.991.907.777.8010.9918.682B109.586M15.33%1.03M948.667K1.017M1.105M,,,,,,,
P,,,,,,,
POAIDPREDICTIVE ONCOLOGY INC.,,,,,,,
1.5878.714M—45.73−1.89−2.21—18.17M49.819M15.33%1.579M1.583M2.354M3.504M,,,,,,,
G,,,,,,,
GHGDGREENTREE HOSPITALITY GROUP LTD. DR,,,,,,,
15.221.548B40.7611.440.370.3722.991.25B68.287M15.30%197.784K139.038K79.461K59.863K,,,,,,,
"APPSDDIGITAL TURBINE, INC.",,,,,,,
71.396.613B118.8321.090.620.57116.257.825B92.631M15.29%3.398M3.004M3.281M3.766M,,,,,,,
H,,,,,,,
"HCIDHCI GROUP, INC.",,,,,,,
82.13696.739M21.192.604.303.49—1.013B8.483M15.29%91.358K88.764K94.467K96.459K,,,,,,,
FSSDFEDERAL SIGNAL CORPORATION,,,,,,,
43.112.61B27.982.371.571.5612.112.567B60.538M15.27%199.081K234.808K241.621K248.591K,,,,,,,
"PYPLDPAYPAL HOLDINGS, INC.",,,,,,,
260.60306.134B59.9513.644.453.5459.58285.607B1.175B15.26%5.484M6.985M6.984M8.677M,,,,,,,
"ACHCDACADIA HEALTHCARE COMPANY, INC.",,,,,,,
65.455.873B31.482.202.112.2017.046.648B89.739M15.25%329.3K397.22K464.678K540.495K,,,,,,,
H,,,,,,,
"HTBIDHOMETRUST BANCSHARES, INC.",,,,,,,
29.51490.356M18.303.091.641.31—659.846M16.617M15.23%50.521K62.872K55.136K52.409K,,,,,,,
A,,,,,,,
"ANIPDANI PHARMACEUTICALS, INC.",,,,,,,
34.95445.261M—1.94−1.29−1.8818.07593.026M12.74M15.19%49.342K59.556K60.185K57.279K,,,,,,,
RMDDRESMED INC.,,,,,,,
206.7030.079B65.669.673.164.2728.9628.871B145.518M15.18%597.991K630.988K604.835K673.884K,,,,,,,
SIMODSILICON MOTION TECHNOLOGY CORPORATION DR,,,,,,,
66.342.306B26.243.922.552.2811.791.724B34.778M15.17%247.234K460K467.371K544.173K,,,,,,,
V,,,,,,,
"VBTXDVERITEX HOLDINGS, INC.",,,,,,,
36.141.788B17.664.962.051.48—2.633B49.463M15.17%188.06K221.135K261.917K274.227K,,,,,,,
MBTDMOBILE TELESYSTEMS PJSC DR,,,,,,,
9.349.302B——0.920.964.82—886.416M15.17%2.435M2.573M3.164M3.309M,,,,,,,
C,,,,,,,
"CASHDMETA FINANCIAL GROUP, INC.",,,,,,,
53.621.712B14.793.223.602.94—-2.161B31.925M15.16%213.504K216.769K211.123K211.729K,,,,,,,
B,,,,,,,
"BRBRDBELLRING BRANDS, INC.",,,,,,,
28.353.884B51.991.080.550.5918.193.83B39.51M15.15%250.566K251.058K228.913K234.542K,,,,,,,
"MDDMEDNAX, INC.",,,,,,,
31.862.746B—1.49−1.33−9.5512.792.863B86.195M15.14%602.548K766.419K767.955K888.247K,,,,,,,
LKQDLKQ CORPORATION,,,,,,,
49.5314.966B20.231.302.502.099.8216.44B302.16M15.13%2.133M2.064M1.802M1.866M,,,,,,,
C,,,,,,,
"CDEDCOEUR MINING, INC.",,,,,,,
9.902.545B60.692.980.160.1110.552.503B257.11M15.12%4.311M4.531M3.9M4.559M,,,,,,,
S,,,,,,,
SLGLDSOL-GEL TECHNOLOGIES LTD.,,,,,,,
10.36238.573M—38.68−1.14−1.30—239.506M23.028M15.11%14.278K48.565K67.224K58.566K,,,,,,,
NEOGDNEOGEN CORPORATION,,,,,,,
45.664.859B78.5410.790.580.5639.824.047B107.4M15.10%340.116K323.057K370.566K384.532K,,,,,,,
A,,,,,,,
"ATCXDATLAS TECHNICAL CONSULTANTS, INC.",,,,,,,
10.45388.353M—0.31−1.12−4.0711.91488.86M31.735M15.09%161.349K106.434K91.29K98.379K,,,,,,,
DOVDDOVER CORPORATION,,,,,,,
151.6321.824B30.043.225.144.7016.5922.402B143.927M15.06%593.481K645.029K684.682K717.808K,,,,,,,
FLEXDFLEX LTD.,,,,,,,
18.879.26B15.660.401.231.217.5411.119B490.742M15.06%3.177M4.55M4.204M4.626M,,,,,,,
SNADSNAP-ON INCORPORATED,,,,,,,
251.0913.579B20.443.4012.5811.4410.0513.395B54.08M15.06%289.39K316.173K379.01K459.579K,,,,,,,
TEXDTEREX CORPORATION,,,,,,,
51.323.582B50.731.201.050.1224.243.668B69.8M15.04%545.785K700.389K657.457K673.968K,,,,,,,
CNHIDCNH INDUSTRIAL N.V.,,,,,,,
18.0724.465B—0.87−0.01−0.3611.6537.745B1.354B15.02%2.969M3.175M2.803M2.835M,,,,,,,
W,,,,,,,
WSCDWILLSCOT MOBILE MINI HOLDINGS CORP.,,,,,,,
29.026.675B71.674.250.400.4112.189.187B230.031M15.02%1.728M1.583M1.503M1.63M,,,,,,,
GMDGENERAL MOTORS COMPANY,,,,,,,
63.2391.726B10.250.766.244.337.14170.331B1.451B15.01%18.325M16.323M17.894M19.613M,,,,,,,
"OBLNDOBALON THERAPEUTICS, INC.",,,,,,,
3.4534.574M—37.17−1.36−1.59—18.985M10.022M15.00%7.903M6.489M3.97M3.144M,,,,,,,
M,,,,,,,
"MCBSDMETROCITY BANKSHARES, INC.",,,,,,,
17.95460.368M11.414.201.541.41—319.815M25.647M14.99%27.241K28.866K27.507K29.049K,,,,,,,
T,,,,,,,
THTXDTHERATECHNOLOGIES INC.,,,,,,,
3.53333.942M—4.34−0.32−0.31—277.42M94.601M14.98%71.756K96.522K181.194K437.415K,,,,,,,
KKRDKKR & CO. INC.,,,,,,,
54.1331.492B6.773.248.583.3715.6189.609B581.779M14.97%2.49M2.473M2.417M2.751M,,,,,,,
FMCDFMC CORPORATION,,,,,,,
118.4915.271B29.283.364.074.2113.8717.797B128.877M14.97%665.706K770.059K750.737K884.121K,,,,,,,
LGF.ADLIONS GATE ENTERTAINMENT CORPORATION,,,,,,,
20.214.184B—1.33−0.08−0.093.966.495B221.527M14.96%1.486M988.118K906.032K959.744K,,,,,,,
C,,,,,,,
"CHPTDCHARGEPOINT HOLDINGS, INC.",,,,,,,
29.529.025B—157.88−8.43−8.03—5.174B305.721M14.95%4.664M4.832M6.633M5.567M,,,,,,,
H,,,,,,,
HUGEDFSD PHARMA INC.,,,,,,,
2.0071.984M——−2.15−2.64—2.015M35.992M14.94%742.578K637.181K2.035M2.979M,,,,,,,
DBIDDESIGNER BRANDS INC.,,,,,,,
16.771.222B—0.50−3.54−6.77—2.514B72.868M14.94%1.82M1.336M1.455M1.615M,,,,,,,
LINDLINDE PLC,,,,,,,
291.58151.682B54.515.695.554.7118.18160.69B520.208M14.94%1.649M1.602M1.657M1.779M,,,,,,,
MSDMORGAN STANLEY,,,,,,,
93.21173.425B12.333.017.726.47—427.391B1.577B14.93%9.594M9.024M10.174M10.579M,,,,,,,
F,,,,,,,
FDUSDFIDUS INVESTMENT CORPORATION,,,,,,,
17.89437.185M6.217.302.851.2812.14667.558M24.437M14.90%97.479K114.113K131.065K142.896K,,,,,,,
TNKDTEEKAY TANKERS LTD.,,,,,,,
15.59525.774M—0.74−1.212.572.69980.46M33.725M14.89%357.435K393.08K414.82K495.954K,,,,,,,
MMPDMAGELLAN MIDSTREAM PARTNERS L.P. LIMITED PARTNERSHIP,,,,,,,
51.6811.539B15.544.793.343.6213.4514.843B223.283M14.84%1.033M1.274M1.305M1.55M,,,,,,,
"CLRDCONTINENTAL RESOURCES, INC.",,,,,,,
35.3612.996B—4.34−0.42−1.657.3214.644B367.535M14.84%1.806M1.899M1.992M2.25M,,,,,,,
U,,,,,,,
"UFPTDUFP TECHNOLOGIES, INC.",,,,,,,
57.66433.98M32.032.431.821.7712.90354.021M7.527M14.84%26.966K23.423K29.858K28.88K,,,,,,,
ZSDZSCALER INC,,,,,,,
192.7326.2B—42.10−1.72−0.89—25.08B135.94M14.83%2.783M2.138M1.934M1.997M,,,,,,,
L,,,,,,,
"LOVDSPARK NETWORKS, INC. DR",,,,,,,
5.58143.052M———−1.807.91278.88M26.057M14.81%61.03K98.822K116.023K143.463K,,,,,,,
AGDFIRST MAJESTIC SILVER CORP.,,,,,,,
17.684.442B69.8310.060.270.1122.723.46B222.815M14.81%3.998M4.66M4.176M6.864M,,,,,,,
ESNTDESSENT GROUP LTD.,,,,,,,
48.625.487B13.285.603.583.88—5.659B112.851M14.81%579.475K731.77K904.062K903.339K,,,,,,,
"VIRTDVIRTU FINANCIAL, INC.",,,,,,,
31.495.976B6.001.345.325.161.954.425B119.549M14.80%1.449M1.524M1.39M1.629M,,,,,,,
"MGPIDMGP INGREDIENTS, INC.",,,,,,,
74.201.629B27.093.052.692.3712.131.021B21.951M14.77%115.346K125.452K115.792K129.52K,,,,,,,
LULUDLULULEMON ATHLETICA INC.,,,,,,,
331.6143.219B61.188.675.414.5041.8243.52B130.331M14.77%1.384M1.038M1.27M1.333M,,,,,,,
E,,,,,,,
ECOMDCHANNELADVISOR CORPORATION,,,,,,,
24.97742.429M33.274.990.770.6315.75655.087M29.733M14.75%151.55K230.612K228.749K274.257K,,,,,,,
SHOPDSHOPIFY INC.,,,,,,,
1230.55152.991B94.6144.3013.112.59673.19133.371B124.327M14.74%1.018M1.472M1.286M1.424M,,,,,,,
CINFDCINCINNATI FINANCIAL CORPORATION,,,,,,,
122.7619.776B6.572.0519.037.49—17.657B161.097M14.71%545.249K672.737K731.353K781.667K,,,,,,,
"JOBSD51JOB, INC. DR",,,,,,,
72.954.956B31.439.352.372.3421.663.176B67.407M14.70%319.916K370.554K274.97K246.694K,,,,,,,
MGMDMGM RESORTS INTERNATIONAL,,,,,,,
43.4121.294B—4.64−4.36−2.02—39.486B490.536M14.69%7.374M7.676M8.077M8.757M,,,,,,,
"DHIDD.R. HORTON, INC.",,,,,,,
92.3333.283B10.731.418.756.419.7335.314B360.484M14.68%2.871M3.37M3.191M3.178M,,,,,,,
DBDDEUTSCHE BANK AG,,,,,,,
15.0831.147B19.020.880.820.28—10.808B2.063B14.68%3.671M4.257M3.886M3.867M,,,,,,,
A,,,,,,,
"ACBIDATLANTIC CAPITAL BANCSHARES, INC.",,,,,,,
28.70583.557M17.515.281.621.05—549.551M20.333M14.66%62.708K54.848K67.345K74.454K,,,,,,,
LMTDLOCKHEED MARTIN CORPORATION,,,,,,,
391.51108.814B15.901.6724.8824.3011.18111.37B277.934M14.66%1.437M1.296M1.5M1.619M,,,,,,,
"WMDWASTE MANAGEMENT, INC.",,,,,,,
139.5758.916B38.403.833.683.5214.9067.697B422.127M14.66%1.218M1.4M1.624M1.836M,,,,,,,
CRMDSALESFORCE.COM INC,,,,,,,
238.14220.518B49.679.994.894.3862.85207.757B926M14.64%7.895M6.024M5.816M6.483M,,,,,,,
HSYDTHE HERSHEY COMPANY,,,,,,,
173.9936.015B26.054.346.746.1117.0536.715B206.997M14.63%772.984K996.898K954.335K1.004M,,,,,,,
L,,,,,,,
"LEVLDLEVEL ONE BANCORP, INC.",,,,,,,
27.75211.709M8.901.803.162.56—225.966M7.629M14.62%20.46K27.444K27.248K27.429K,,,,,,,
T,,,,,,,
TRMDDTORM PLC,,,,,,,
9.11706.384M41.361.060.221.274.111.416B77.539M14.59%47.583K51.711K51.782K60.833K,,,,,,,
A,,,,,,,
APOPDCELLECT BIOTECHNOLOGY LTD. DR,,,,,,,
3.3012.315M——−1.42−1.43—3.398M3.909M14.58%464.331K519.129K2.217M1.555M,,,,,,,
"ANTMDANTHEM, INC.",,,,,,,
389.1095.268B21.040.7818.9317.98—113.307B244.841M14.58%1.035M969.396K1.136M1.226M,,,,,,,
P,,,,,,,
PLGDPLATINUM GROUP METALS LTD.,,,,,,,
4.01296.571M——−0.18−0.12—325.716M73.958M14.57%617.118K836.484K746.568K1.021M,,,,,,,
EADELECTRONIC ARTS INC.,,,,,,,
145.7241.704B50.667.442.902.8727.7635.045B286.191M14.55%1.756M2.224M2.234M2.494M,,,,,,,
C,,,,,,,
CLIRDCLEARSIGN TECHNOLOGIES CORPORATION,,,,,,,
5.04157.808M—413.75−0.24−0.25—163.617M31.311M14.55%80.949K152.397K194.628K209.849K,,,,,,,
N,,,,,,,
"NATRDNATURE'S SUNSHINE PRODUCTS, INC.",,,,,,,
20.48408.505M18.161.051.141.075.65339.395M19.947M14.54%55.66K88.029K84.748K81.47K,,,,,,,
F,,,,,,,
"FTSIDFTS INTERNATIONAL, INC.",,,,,,,
26.95377.03M—1.86—−2.70—264.613M13.99M14.53%64.447K60.914K70.501K77.481K,,,,,,,
AJGDARTHUR J. GALLAGHER & CO.,,,,,,,
143.5429.409B33.454.034.434.2015.7026.362B204.887M14.53%1.329M1.369M1.098M1.027M,,,,,,,
